pkey,created_on,last_updated_on,version,batting_hand,style_batting,date_of_birth,place_of_birth,bowling_hand,style_bowling,bowling_type,country,fielding_pos,first_name,url_img,last_name,middle_name,playing_role,short_name,src_id,url_thumb
2016,"2021-02-15 00:48:01",NULL,0,LEFT,"Left hand Bat",1994-12-19,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Romario Sharma",,,,,"RR Sharma",55723,
2017,"2021-02-15 00:48:02",NULL,0,RIGHT,"Right Hand Bat",1988-10-16,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,in,NULL,"Pritam Das",,,,,"PL Das",54616,
2018,"2021-02-15 00:48:02",NULL,0,RIGHT,"Right Hand Bat",1998-10-11,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Shyam Gan",,,,,"SA Gan",93544,
2019,"2021-02-15 00:48:02",NULL,0,NULL,,0002-11-30,,NULL,,NULL,in,NULL,"Nipan Deka",,,,,"Nipan Deka",93543,
2020,"2021-02-15 00:48:03",NULL,0,LEFT,"Left hand Bat",1988-12-10,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Sekhar Barman",,,,,"SJ Barman",93542,
2021,"2021-02-15 00:48:04",NULL,0,RIGHT,"Right Hand Bat",1992-10-18,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Abhoy Negi",,,,,"Abhoy Negi",93545,
2022,"2021-02-15 00:48:04",NULL,0,RIGHT,"Right Hand Bat",1993-12-07,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Udiyan Bose",,,,,"UU Bose",54060,
2023,"2021-02-15 00:48:05",NULL,0,RIGHT,"Right Hand Bat",1995-09-02,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,in,NULL,"Rajjakuddin Ahmed",,,,,"Rajjakuddin Ahmed",93380,
2024,"2021-02-15 00:48:05",NULL,0,RIGHT,"Right Hand Bat",1992-07-09,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Gurinder Singh",,,,,"Gurinder Singh",55691,
2025,"2021-02-15 00:48:05",NULL,0,RIGHT,"Right Hand Bat",1990-12-30,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Kaushal Acharjee",,,,,"KK Acharjee",54063,
2026,"2021-02-15 00:48:05",NULL,0,RIGHT,"Right Hand Bat",1993-05-16,,NULL,,NULL,in,NULL,"Smit Patel",,,,,"Smit Patel",54145,
2027,"2021-02-15 00:48:06",NULL,0,RIGHT,"Right Hand Bat",1994-12-29,,NULL,,NULL,in,NULL,"Wasiqur Rahman",,,,,"Wasiqur Rahman",90708,
2028,"2021-02-15 00:48:06",NULL,0,RIGHT,"Right Hand Bat",1991-07-27,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Arup Das",,,,,"AK Das",54022,
2029,"2021-02-15 00:48:06",NULL,0,RIGHT,"Right Hand Bat",1997-03-10,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Ajoy Sarkar",,,,,"AS Sarkar",55711,
2030,"2021-02-15 00:48:06",NULL,0,RIGHT,"Right Hand Bat",1993-11-01,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Saurabh Das",,,,,"SS Das",54566,
2031,"2021-02-15 00:48:07",NULL,0,RIGHT,"Right Hand Bat",1989-12-16,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Rishav Das",,,,,"RK Das",55213,
2032,"2021-02-15 00:48:07",NULL,0,RIGHT,"Right Hand Bat",1989-09-15,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Swarupam Purkayastha",,,,,"S Purkayastha",54421,
2033,"2021-02-15 00:48:07",NULL,0,RIGHT,"Right Hand Bat",1987-07-25,,NULL,,NULL,in,NULL,"Pritam Debnath",,,,,"PK Debnath",55737,
2034,"2021-02-15 00:48:07",NULL,0,LEFT,"Left hand Bat",1990-01-17,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Pallavkumar Das",,,,,"PP Das",54008,
2035,"2021-02-15 00:48:08",NULL,0,RIGHT,"Right Hand Bat",1981-11-27,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Yashpal Singh",,,,,"Yashpal Singh",53837,
2036,"2021-02-15 00:48:08",NULL,0,RIGHT,"Right Hand Bat",1990-03-11,,NULL,,NULL,in,NULL,"Rajdeep Das",,,,,"Rajdeep Das",60062,
2037,"2021-02-15 00:48:11",NULL,0,LEFT,"Left hand Bat",1990-09-17,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Nitish Rao",,,,,"V Nitish Rao",93554,
2038,"2021-02-15 00:48:11",NULL,0,RIGHT,"Right Hand Bat",1994-05-13,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Shashank Chandraker",,,,,"S Chandraker",93553,
2039,"2021-02-15 00:48:11",NULL,0,RIGHT,"Right Hand Bat",1994-07-25,,NULL,,NULL,in,NULL,"Rushabh Rathod",,,,,"RR Rathod",90684,
2040,"2021-02-15 00:48:12",NULL,0,RIGHT,"Right Hand Bat",1994-06-03,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Siddhesh Neral",,,,,"SS Neral",71068,
2041,"2021-02-15 00:48:12",NULL,0,RIGHT,"Right Hand Bat",1984-09-01,,LEFT,"Left Arm Medium",MEDIUM,in,NULL,"Ravikumar  Thakur",,,,,"RD Thakur",54091,
2042,"2021-02-15 00:48:12",NULL,0,RIGHT,"Right Hand Bat",1988-03-15,,NULL,,NULL,in,NULL,"Ganesh Satish",,,,,"Ganesh Satish",54078,
2043,"2021-02-15 00:48:13",NULL,0,RIGHT,"Right Hand Bat",1997-08-05,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,in,NULL,"Amandeep Khare",,,,,"Amandeep Khare",1413,
2044,"2021-02-15 00:48:13",NULL,0,LEFT,"Left hand Bat",1985-09-07,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Faiz Fazal",,,,,"FY Fazal",53521,
2045,"2021-02-15 00:48:13",NULL,0,RIGHT,"Right Hand Bat",1990-11-30,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Vishal Kushwah",,,,,"VS Kushwah",90439,
2046,"2021-02-15 00:48:13",NULL,0,LEFT,"Left hand Bat",1996-02-25,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Ajay Mandal",,,,,"AJ Mandal",90373,
2047,"2021-02-15 00:48:14",NULL,0,RIGHT,"Right Hand Bat",1994-07-09,,NULL,,NULL,in,NULL,"Akshay Wadkar",,,,,"AV Wadkar",70720,
2048,"2021-02-15 00:48:14",NULL,0,RIGHT,"Right Hand Bat",1993-01-28,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Rajneesh Gurbani",,,,,"RN Gurbani",90411,
2049,"2021-02-15 00:48:14",NULL,0,RIGHT,"Right Hand Bat",1993-09-09,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Shahnawaz Hussain",,,,,"Shahnawaz Hussain",90553,
2050,"2021-02-15 00:48:14",NULL,0,RIGHT,"Right Hand Bat",1991-08-02,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Shivendra Singh",,,,,"Shivendra Singh",90454,
2051,"2021-02-15 00:48:14",NULL,0,LEFT,"Left hand Bat",1994-11-11,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Shakeeb Ahmed",,,,,"Shakeeb Ahmed",90379,
2052,"2021-02-15 00:48:15",NULL,0,RIGHT,"Right Hand Bat",1992-04-12,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Sahil Gupta",,,,,"SS Gupta",90370,
2053,"2021-02-15 00:48:15",NULL,0,RIGHT,"Right Hand Bat",1986-09-29,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,in,NULL,"Abhimanyu Chauhan",,,,,"ARPS Chauhan",59593,
2054,"2021-02-15 00:48:15",NULL,0,RIGHT,"Right Hand Bat",1994-01-05,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Ashutosh Singh",,,,,"Ashutosh Singh",90371,
2055,"2021-02-15 00:48:16",NULL,0,LEFT,"Left hand Bat",1987-06-03,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Ravi Jangid",,,,,"R Jangid",54083,
2056,"2021-02-15 00:48:16",NULL,0,RIGHT,"Right Hand Bat",1990-10-15,,NULL,,NULL,in,NULL,"Manoj Singh",,,,,"Manoj Singh",83920,
2057,"2021-02-15 00:48:16",NULL,0,LEFT,"Left hand Bat",1988-10-09,,LEFT,"Left Arm Medium Fast",MEDIUM_FAST,in,NULL,"Shrikant Wagh",,,,,"SB Wagh",54089,
2058,"2021-02-15 00:48:16",NULL,0,LEFT,"Left hand Bat",1992-10-12,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Akshay Karnewar",,,,,"AK Karnewar",83967,
2059,"2021-02-15 00:48:17",NULL,0,RIGHT,"Right Hand Bat",1989-10-19,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Pankaj Kumar Rao",,,,,"Pankaj Rao",83923,
2060,"2021-02-15 00:48:17",NULL,0,RIGHT,"Right Hand Bat",1993-10-22,,NULL,,NULL,in,NULL,"Jitesh Sharma",,,,,"JM Sharma",55210,
2061,"2021-02-15 00:48:17",NULL,0,LEFT,"Left hand Bat",1990-06-06,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Sumit Ruikar",,,,,"SS Ruikar",54567,
2062,"2021-02-15 00:48:18",NULL,0,RIGHT,"Right Hand Bat",1985-10-03,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Akshay Wakhare",,,,,"Akshay Wakhare",54503,
2063,"2021-02-15 00:48:18",NULL,0,RIGHT,"Right Hand Bat",1989-12-10,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Aditya Sarwate",,,,,"AA Sarwate",60086,
2064,"2021-02-15 00:48:20",NULL,0,RIGHT,"Right Hand Bat",0002-11-30,,NULL,,NULL,in,NULL,"Manzoor Pandav",,,,,"Manzoor Pandav",93555,
2065,"2021-02-15 00:48:20",NULL,0,RIGHT,"Right Hand Bat",0002-11-30,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Nitin Yadav",,,,,"Nitin Yadav",93278,
2066,"2021-02-15 00:48:20",NULL,0,LEFT,"Left hand Bat",1997-06-02,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Arun Bamal",,,,,"AA Bamal",93354,
2067,"2021-02-15 00:48:21",NULL,0,LEFT,"Left hand Bat",0002-11-30,,LEFT,"Left Arm Medium",MEDIUM,in,NULL,"Ranjeet Darji",,,,,"Ranjeet Darji",93556,
2068,"2021-02-15 00:48:21",NULL,0,RIGHT,"Right Hand Bat",1988-10-21,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Mohammed Mudhasir",,,,,"M Mudhasir",54470,
2069,"2021-02-15 00:48:21",NULL,0,RIGHT,"Right Hand Bat",1993-09-17,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Ravi Chauhan",,,,,"Ravi Chauhan",90383,
2070,"2021-02-15 00:48:21",NULL,0,RIGHT,"Right Hand Bat",1989-06-22,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Diwesh Pathania",,,,,"DG Pathania",60059,
2071,"2021-02-15 00:48:22",NULL,0,RIGHT,"Right Hand Bat",1991-04-14,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Nakul Verma",,,,,"NH Verma",54416,
2072,"2021-02-15 00:48:22",NULL,0,LEFT,"Left Hand Bat",1995-09-18,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Rahul Gahlaut",,,,,"Rahul Gahlaut",48321,
2073,"2021-02-15 00:48:22",NULL,0,RIGHT,"Right Hand Bat",1995-09-08,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Amit Pachhara",,,,,"AR Pachhara",90416,
2074,"2021-02-15 00:48:22",NULL,0,RIGHT,"Right Hand Bat",1989-03-01,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Ian Dev Singh",,,,,"ID Singh",53804,
2075,"2021-02-15 00:48:23",NULL,0,LEFT,"Left hand Bat",1987-05-28,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Abhishek Sakuja",,,,,"A Sakuja",53846,
2076,"2021-02-15 00:48:23",NULL,0,RIGHT,"Right Hand Bat",1989-09-09,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Bandeep Singh",,,,,"Bandeep Singh",53802,
2077,"2021-02-15 00:48:23",NULL,0,RIGHT,"Right Hand Bat",1994-09-15,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Jatin Wadhwan",,,,,"JS Wadhwan",90671,
2078,"2021-02-15 00:48:23",NULL,0,RIGHT,"Right Hand Bat",1990-10-14,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Owais Shah",,,,,"OA Shah",1190,
2079,"2021-02-15 00:48:24",NULL,0,RIGHT,"Right Hand Bat",1993-01-03,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Waseem Raza",,,,,"Waseem Raza",53809,
2080,"2021-02-15 00:48:24",NULL,0,RIGHT,"Right Hand Bat",1996-07-01,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Sachidanand Pandey",,,,,"S Pandey",90430,
2081,"2021-02-15 00:48:24",NULL,0,RIGHT,"Right Hand Bat",1993-12-18,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Pranav Gupta",,,,,"Pranav Gupta",74445,
2082,"2021-02-15 00:48:24",NULL,0,RIGHT,"Right Hand Bat",1995-03-09,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Ahmed Bandy",,,,,"AO Bandy",55192,
2083,"2021-02-15 00:48:25",NULL,0,RIGHT,"Right Hand Bat",1996-10-09,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Nitin Tanwar",,,,,"N Tanwar",93341,
2084,"2021-02-15 00:48:25",NULL,0,RIGHT,"Right Hand Bat",1984-10-19,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Avishek Sinha",,,,,"A Sinha",55194,
2085,"2021-02-15 00:48:25",NULL,0,RIGHT,"Right Hand Bat",1993-10-23,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Nakul Sharma",,,,,"Nakul Sharma",54464,
2086,"2021-02-15 00:48:25",NULL,0,LEFT,"Left hand Bat",1990-12-16,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Manik Gupta",,,,,"M Gupta",54100,
2087,"2021-02-15 00:48:26",NULL,0,RIGHT,"Right Hand Bat",1989-02-13,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Parvez Rasool",,,,,"Parvez Rasool",664,
2088,"2021-02-15 00:48:26",NULL,0,RIGHT,"Right Hand Bat",1993-02-26,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Hardik Sethi",,,,,"HR Sethi",54500,
2089,"2021-02-15 00:48:26",NULL,0,LEFT,"Left hand Bat",1993-09-06,,LEFT,"Left Arm Medium",MEDIUM,in,NULL,"Vikas Hathwala",,,,,"VS Hathwala",55697,
2090,"2021-02-15 00:48:26",NULL,0,RIGHT,"Right Hand Bat",1988-10-29,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Ram Dayal",,,,,"R Dayal",53811,
2091,"2021-02-15 00:48:27",NULL,0,RIGHT,"Right Hand Bat",1993-11-03,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Umar Nazir Mir",,,,,"Umar Nazir",53810,
2092,"2021-02-15 00:48:27",NULL,0,RIGHT,"Right Hand Bat",1995-09-13,,NULL,,NULL,in,NULL,"Shubham Khajuria",,,,,"SP Khajuria",53799,
2093,"2021-02-15 00:48:27",NULL,0,LEFT,"Left hand Bat",1998-10-16,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Shubham Pundir",,,,,"SS Pundir",54507,
2094,"2021-02-15 00:48:30",NULL,0,RIGHT,"Right Hand Bat",1996-10-04,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Kartikeya Kak",,,,,"Kartikeya Kak",93559,
2095,"2021-02-15 00:48:30",NULL,0,RIGHT,"Right Hand Bat",1991-02-24,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Ashish Reddy",,,,,"A Ashish Reddy",690,
2096,"2021-02-15 00:48:30",NULL,0,RIGHT,"Right Hand Bat",1993-12-02,,NULL,,NULL,in,NULL,"Vishnu Vinod",,,,,"Vishnu Vinod",55261,
2097,"2021-02-15 00:48:31",NULL,0,RIGHT,"Right Hand Bat",1986-02-15,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Arun Karthick",,,,,"Arun Karthick",54012,
2098,"2021-02-15 00:48:31",NULL,0,RIGHT,"Right Hand Bat",1995-07-27,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Fabid Ahmed",,,,,"Fabid Ahmed",55221,
2099,"2021-02-15 00:48:31",NULL,0,LEFT,"Left hand Bat",1985-05-22,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Padmanabhan Prasanth",,,,,"P Prasanth",53961,
2100,"2021-02-15 00:48:31",NULL,0,LEFT,"Left hand Bat",1997-06-30,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Salman Nizar",,,,,"Salman Nizar",54615,
2101,"2021-02-15 00:48:32",NULL,0,LEFT,"Left hand Bat",1992-12-15,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Abhishek Mohan",,,,,"Abhishek Mohan",53963,
2102,"2021-02-15 00:48:32",NULL,0,RIGHT,"Right Hand Bat",1991-02-01,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Ravi Kiran",,,,,"M Ravi Kiran",53886,
2103,"2021-02-15 00:48:32",NULL,0,RIGHT,"Right Hand Bat",1993-06-10,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Akash Bhandari",,,,,"AA Bhandari",54414,
2104,"2021-02-15 00:48:32",NULL,0,LEFT,"Left Hand Bat",1994-10-19,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,in,NULL,"Ravi Teja Telukupalli",,,,,"Ravi Teja Telukupalli",90673,
2105,"2021-02-15 00:48:33",NULL,0,RIGHT,"Right Hand Bat",1993-01-24,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Palakodeti Sairam",,,,,"PS Sairam",90699,
2106,"2021-02-15 00:48:33",NULL,0,RIGHT,"Right Hand Bat",1992-04-24,,NULL,,NULL,in,NULL,"Kolla Sumanth",,,,,"K Sumanth",70267,
2107,"2021-02-15 00:48:33",NULL,0,LEFT,"Left hand Bat",1997-09-28,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Sijomon Joseph",,,,,"S Joseph",93363,
2108,"2021-02-15 00:48:33",NULL,0,RIGHT,"Right Hand Bat",1987-07-31,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Vinod Kumar",,,,,"Vinod Kumar",55212,
2109,"2021-02-15 00:48:34",NULL,0,LEFT,"Left Hand Bat",1995-11-15,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Tanay Thyagarajan",,,,,"Tanay Thyagarajan",90745,
2110,"2021-02-15 00:48:34",NULL,0,LEFT,"Left hand Bat",1994-07-29,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Rohit Rayudu",,,,,"K Rohit Rayudu",90744,
2111,"2021-02-15 00:48:34",NULL,0,LEFT,"Left hand Bat",1986-09-13,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Rohan Prem",,,,,"PR Prem",53955,
2112,"2021-02-15 00:48:35",NULL,0,RIGHT,"Right Hand Bat",1991-02-11,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Akshath Reddy",,,,,"PA Reddy",53875,
2113,"2021-02-15 00:48:35",NULL,0,RIGHT,"Right Hand Bat",1998-05-07,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Daryl Ferrario",,,,,"DS Ferrario",90746,
2114,"2021-02-15 00:48:35",NULL,0,LEFT,"Left hand Bat",1986-09-05,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Pragyan Ojha",,,,,"PP Ojha",608,
2115,"2021-02-15 00:48:37",NULL,0,LEFT,"Left hand Bat",2000-08-16,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Siddharth Desai",,,,,"SA Desai",93361,
2116,"2021-02-15 00:48:39",NULL,0,RIGHT,"Right Hand Bat",1996-12-30,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,in,NULL,"Subhranshu Senapati",,,,,"Subhranshu Senapati",90362,
2117,"2021-02-15 00:48:39",NULL,0,RIGHT,"Right Hand Bat",1995-11-15,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Anurag Tiwari",,,,,"AS Tiwari",93256,
2118,"2021-02-15 00:48:39",NULL,0,RIGHT,"Right Hand Bat",1993-07-18,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Pramod Chandila",,,,,"P Chandila",90685,
2119,"2021-02-15 00:48:39",NULL,0,RIGHT,"Right Hand Bat",1995-12-02,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Devendra Kunwar",,,,,"DS Kunwar",90719,
2120,"2021-02-15 00:48:40",NULL,0,LEFT,"Left hand Bat",1985-09-18,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Paresh Patel",,,,,"P Patel",54575,
2121,"2021-02-15 00:48:40",NULL,0,RIGHT,"Right Hand Bat",1996-08-27,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Aamir Gani",,,,,"Aamir Gani",55726,
2122,"2021-02-15 00:48:40",NULL,0,RIGHT,"Right Hand Bat",1998-05-17,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Sandeep Pattnaik",,,,,"SP Pattnaik",90359,
2123,"2021-02-15 00:48:40",NULL,0,RIGHT,"Right Hand Bat",1995-11-20,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Ritwik Roy Chowdhury",,,,,"RR Roy Chowdhury",55769,
2124,"2021-02-15 00:48:41",NULL,0,LEFT,"Left hand Bat",1992-12-17,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Anurag Sarangi",,,,,"AR Sarangi",53900,
2125,"2021-02-15 00:48:41",NULL,0,LEFT,"Left hand Bat",1991-11-11,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Sudip Chatterjee",,,,,"SD Chatterjee",53501,
2126,"2021-02-15 00:48:41",NULL,0,LEFT,"Left Hand Bat",1993-11-01,Howrah,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Vivek Singh",,,,,"Vivek Singh",55706,
2127,"2021-02-15 00:48:42",NULL,0,RIGHT,"Right Hand Bat",1987-03-03,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Abhishek Raut",,,,,"AS Raut",55749,
2128,"2021-02-15 00:48:42",NULL,0,RIGHT,"Right Hand Bat",1995-09-06,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Abhimanyu Easwaran",,,,,"Abhimanyu Easwaran",54418,
2129,"2021-02-15 00:48:42",NULL,0,RIGHT,"Right Hand Bat",1993-09-30,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Suryakant Pradhan",,,,,"SB Pradhan",53907,
2130,"2021-02-15 00:48:42",NULL,0,LEFT,"Left hand Bat",1996-09-10,,NULL,,NULL,in,NULL,"Debasish Samantray",,,,,"DA Samantray",93563,
2131,"2021-02-15 00:48:43",NULL,0,LEFT,"Left hand Bat",1986-12-25,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Jayanta Behera",,,,,"J Behera",55709,
2132,"2021-02-15 00:48:43",NULL,0,RIGHT,"Right Hand Bat",1996-10-10,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Debabrata Pradhan",,,,,"DB Pradhan",90773,
2133,"2021-02-15 00:48:43",NULL,0,RIGHT,"Right Hand Bat",1997-10-17,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Ashutosh Das",,,,,"AS Das",93562,
2134,"2021-02-15 00:48:43",NULL,0,RIGHT,"Right Hand Bat",1999-12-02,,NULL,,NULL,in,NULL,"Rajesh Dhuper",,,,,"RR Dhuper",93243,
2135,"2021-02-15 00:48:44",NULL,0,RIGHT,"Right Hand Bat",1991-02-09,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Sumanta Gupta",,,,,"SA Gupta",93561,
2136,"2021-02-15 00:48:44",NULL,0,RIGHT,"Right Hand Bat",1993-10-12,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Mukesh Kumar",,,,,"Mukesh Kumar",90493,
2137,"2021-02-15 00:48:44",NULL,0,RIGHT,"Right Hand Bat",1989-11-05,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Alok Chandra Sahoo",,,,,"AK Sahoo",59614,
2138,"2021-02-15 00:48:44",NULL,0,RIGHT,"Right Hand Bat",1984-03-25,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,in,NULL,"Ashok Dinda",,,,,"Ashok Dinda",882,
2139,"2021-02-15 00:48:45",NULL,0,RIGHT,"Right Hand Bat",1992-09-28,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Writtick Chatterjee",,,,,"WB Chatterjee",59653,
2140,"2021-02-15 00:48:45",NULL,0,RIGHT,"Right Hand Bat",1989-09-29,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Lagnajit Samal",,,,,"LL Samal",54443,
2141,"2021-02-15 00:48:45",NULL,0,RIGHT,"Right Hand Bat",1994-02-02,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Prayash Singh",,,,,"Prayash Singh",90789,
2142,"2021-02-15 00:48:45",NULL,0,RIGHT,"Right Hand Bat",1984-04-30,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Anustup Majumdar",,,,,"Anustup Majumdar",53776,
2143,"2021-02-15 00:48:47",NULL,0,LEFT,"Left hand Bat",1993-09-08,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Manyala Pranith",,,,,"M Pranith",90560,
2144,"2021-02-15 00:48:48",NULL,0,RIGHT,"Right Hand Bat",1998-10-08,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Girinath Reddy",,,,,"P Girinath Reddy",90688,
2145,"2021-02-15 00:48:48",NULL,0,RIGHT,"Right Hand Bat",1994-05-20,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Bharath Shankar",,,,,"K Bharath Shankar",54276,
2146,"2021-02-15 00:48:48",NULL,0,RIGHT,"Right Hand Bat",1988-10-14,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Antony Dhas",,,,,"W Antony Dhas",55722,
2147,"2021-02-15 00:48:48",NULL,0,RIGHT,"Right Hand Bat",1987-04-14,,NULL,,NULL,in,NULL,"Srikkanth Anirudha",,,,,"S Anirudha",55720,
2148,"2021-02-15 00:48:49",NULL,0,RIGHT,"Right Hand Bat",1991-09-01,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Shoaib Khan",,,,,"Shoaib Khan",89998,
2149,"2021-02-15 00:48:49",NULL,0,RIGHT,"Right Hand Bat",1995-11-15,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Ashwin Hebbar",,,,,"K Ashwin Hebbar",54514,
